,id,extra_info
0,TOR201903280,Mound Visit
1,TOR201903280,Mound Visit
2,TOR201903290,Mound Visit
3,TOR201903290,Mound Visit
4,TOR201903290,Injury Delay
5,TOR201903300,Mound Visit
6,TOR201903300,Mound Visit
7,TOR201903300,Injury Delay
8,TOR201903300,$Cabrera hit on hand and left game; X-rays negative
9,TOR201903300,Mound Visit
10,TOR201903300,Mound Visit
11,TOR201903300,Mound Visit
12,TOR201903300,Mound Visit
13,TOR201903310,Mound Visit
14,TOR201903310,Mound Visit
15,TOR201903310,Mound Visit
16,TOR201903310,Mound Visit
17,TOR201903310,Mound Visit
18,TOR201903310,Mound Visit
19,TOR201903310,Mound Visit
20,TOR201903310,Mound Visit
21,TOR201903310,Mound Visit
22,TOR201903310,Mound Visit
23,TOR201904010,Mound Visit
24,TOR201904010,$Orioles challenged call that Martin was out at 2nd; call
25,TOR201904010,was upheld - out advancing
26,TOR201904010,Mound Visit
27,TOR201904010,Mound Visit
28,TOR201904010,Injury Delay
29,TOR201904010,Mound Visit
30,TOR201904020,Injury Delay
31,TOR201904020,Mound Visit
32,TOR201904020,Mound Visit
33,TOR201904020,Mound Visit
34,TOR201904020,Mound Visit
35,TOR201904020,$Fan interference
36,TOR201904030,On-field Delay
37,TOR201904030,Mound Visit
38,TOR201904030,Mound Visit
39,TOR201904030,Mound Visit
40,TOR201904120,Mound Visit
41,TOR201904120,Mound Visit
42,TOR201904120,Mound Visit
43,TOR201904120,$Rays challenged call that Urena was safe at 2nd; call was
44,TOR201904120,overturned - single and out stretching
45,TOR201904120,Injury Delay
46,TOR201904120,Mound Visit
47,TOR201904120,Mound Visit
48,TOR201904120,$Rays challenged call that Meadows was out at first; call
49,TOR201904120,was upheld - out to complete double play
50,TOR201904120,Mound Visit
51,TOR201904120,Mound Visit
52,TOR201904120,Mound Visit
53,TOR201904120,Mound Visit
54,TOR201904120,Mound Visit
55,TOR201904120,Injury Delay
56,TOR201904130,$Blue Jays challenged call that Hernandez was out at 1st to
57,TOR201904130,"complete double play; call was overturned - force out, no DP"
58,TOR201904130,"$Rays challenged call that Garcias was out at home, claiming"
59,TOR201904130,plate was illegally blocked; call was upheld - out at home - DP
60,TOR201904130,Mound Visit
61,TOR201904130,Mound Visit
62,TOR201904130,Mound Visit
63,TOR201904130,Mound Visit
64,TOR201904130,Mound Visit
65,TOR201904130,Mound Visit
66,TOR201904140,$Rays challenged call that Smoak was hit by pitch; call
67,TOR201904140,was upheld - hit by pitch
68,TOR201904140,Mound Visit
69,TOR201904140,Mound Visit
70,TOR201904140,Mound Visit
71,TOR201904140,Mound Visit
72,TOR201904140,Mound Visit
73,TOR201904140,Mound Visit
74,TOR201904140,Mound Visit
75,TOR201904140,Mound Visit
76,TOR201904140,$Rays challenged call that Garcia was safe at 3rd; call was
77,TOR201904140,upheld - safe advancing on fly ball
78,TOR201904140,Mound Visit
79,TOR201904140,Mound Visit
80,TOR201904230,Mound Visit
81,TOR201904230,Mound Visit
82,TOR201904230,Mound Visit
83,TOR201904230,Mound Visit
84,TOR201904230,Mound Visit
85,TOR201904230,Mound Visit
86,TOR201904230,Mound Visit
87,TOR201904230,Mound Visit
88,TOR201904240,Mound Visit
89,TOR201904240,Mound Visit
90,TOR201904240,Mound Visit
91,TOR201904240,Mound Visit
92,TOR201904260,Mound Visit
93,TOR201904260,Mound Visit
94,TOR201904260,Mound Visit
95,TOR201904260,Mound Visit
96,TOR201904260,Mound Visit
97,TOR201904260,Mound Visit
98,TOR201904270,$Blue Jays challenged call that slide interference had
99,TOR201904270,occurred and result was double play; call was
100,TOR201904270,overturned - no interference
101,TOR201904270,Mound Visit
102,TOR201904270,$fan interference
103,TOR201904270,Mound Visit
104,TOR201904270,$Blue Jays challenged call that there was no slide
105,TOR201904270,interference; call was upheld - no interference
106,TOR201904270,Mound Visit
107,TOR201904270,Mound Visit
108,TOR201904270,Mound Visit
109,TOR201904280,Mound Visit
110,TOR201904280,Mound Visit
111,TOR201904280,$Blue Jays challenged call that Hanson was out at 2nd;
112,TOR201904280,call was upheld - force out
113,TOR201904280,Mound Visit
114,TOR201904280,Mound Visit
115,TOR201904280,Mound Visit
116,TOR201904280,"ej,walkp001,C,marqa901,Arguing balls and strikes"
117,TOR201904280,$Toronto pitching coach Pete Walker ejected by HP umpire Marquez
118,TOR201904280,for arguing balls and strikes while Phegley was batting
119,TOR201904280,Mound Visit
120,TOR201904280,$Umpire review of ball hit by Tellez; call was upheld - double
121,TOR201904280,Mound Visit
122,TOR201905060,Mound Visit
123,TOR201905060,$Blue Jays challenged call that Buxton was safe at 2nd; call
124,TOR201905060,was overturned - out on pickoff
125,TOR201905060,Mound Visit
126,TOR201905060,Mound Visit
127,TOR201905060,On-field Delay
128,TOR201905060,"ej,montc001,M,hamaa901,Arguing called third strike"
129,TOR201905060,$Toronto manager Montoyo ejected by HP umpire Hamari for
130,TOR201905060,arguing called third strike
131,TOR201905060,Mound Visit
132,TOR201905060,Mound Visit
133,TOR201905060,$Castro left with an injured elbow
134,TOR201905070,Mound Visit
135,TOR201905070,Injury Delay
136,TOR201905070,Mound Visit
137,TOR201905070,Mound Visit
138,TOR201905080,Mound Visit
139,TOR201905080,$originally scored as single and runner to 3rd on E8; error
140,TOR201905080,was removed on 05-09-2019
141,TOR201905080,Mound Visit
142,TOR201905080,Mound Visit
143,TOR201905080,Mound Visit
144,TOR201905080,Mound Visit
145,TOR201905100,Mound Visit
146,TOR201905100,Mound Visit
147,TOR201905100,Mound Visit
148,TOR201905100,Mound Visit
149,TOR201905100,Mound Visit
150,TOR201905100,"$originally scored as double, changed to error on 05-20-2019"
151,TOR201905100,$White Sox challenged call that Anderson was out at 1st; call
152,TOR201905100,was overturned - single
153,TOR201905100,Mound Visit
154,TOR201905110,Mound Visit
155,TOR201905110,Mound Visit
156,TOR201905110,Mound Visit
157,TOR201905110,Mound Visit
158,TOR201905110,Mound Visit
159,TOR201905110,Mound Visit
160,TOR201905110,Batter interference
161,TOR201905110,Mound Visit
162,TOR201905120,$White Sox challenged call that Adnerson was out at 2nd; call
163,TOR201905120,was upheld - caught stealing
164,TOR201905120,Injury Delay
165,TOR201905120,Mound Visit
166,TOR201905120,Mound Visit
167,TOR201905120,$Garcia left with an injured back
168,TOR201905120,Injury Delay
169,TOR201905120,$Batter interference
170,TOR201905200,Mound Visit
171,TOR201905200,Mound Visit
172,TOR201905200,Mound Visit
173,TOR201905200,Mound Visit
174,TOR201905200,Mound Visit
175,TOR201905210,Mound Visit
176,TOR201905210,Mound Visit
