,id,er,player_id,earned_runs
0,TOR201903280,er,zimmj003,0
1,TOR201903280,er,jimej003,0
2,TOR201903280,er,alcav001,0
3,TOR201903280,er,grees005,0
4,TOR201903280,er,strom001,0
5,TOR201903280,er,biagj001,0
6,TOR201903280,er,gilek001,0
7,TOR201903280,er,hudsd001,2
8,TOR201903290,er,boydm001,3
9,TOR201903290,er,farmb001,0
10,TOR201903290,er,hardb001,2
11,TOR201903290,er,garrr001,0
12,TOR201903290,er,shoem001,0
13,TOR201903290,er,guerj002,0
14,TOR201903300,er,turns003,3
15,TOR201903300,er,norrd002,0
16,TOR201903300,er,alcav001,0
17,TOR201903300,er,sanca006,0
18,TOR201903300,er,mayzt001,0
19,TOR201903300,er,hudsd001,0
20,TOR201903300,er,biagj001,0
21,TOR201903300,er,gilek001,0
22,TOR201903310,er,moorm003,0
23,TOR201903310,er,jimej003,3
24,TOR201903310,er,farmb001,0
25,TOR201903310,er,stumd001,0
26,TOR201903310,er,grees005,0
27,TOR201903310,er,thort002,0
28,TOR201903310,er,gavis001,0
29,TOR201903310,er,mayzt001,2
30,TOR201903310,er,guerj002,1
31,TOR201903310,er,lucie001,0
32,TOR201903310,er,gilek001,0
33,TOR201903310,er,biagj001,0
34,TOR201903310,er,pannt001,1
35,TOR201904010,er,hessd001,0
36,TOR201904010,er,araup001,2
37,TOR201904010,er,wrigm001,2
38,TOR201904010,er,bleir001,1
39,TOR201904010,er,reids001,3
40,TOR201904010,er,pannt001,0
41,TOR201904010,er,gavis001,1
42,TOR201904020,er,casha001,0
43,TOR201904020,er,fry-p001,0
44,TOR201904020,er,castm002,1
45,TOR201904020,er,strom001,2
46,TOR201904020,er,mayzt001,0
47,TOR201904020,er,hudsd001,0
48,TOR201904020,er,guerj002,0
49,TOR201904030,er,karnn001,0
50,TOR201904030,er,yacaj001,1
51,TOR201904030,er,bleir001,0
52,TOR201904030,er,wothm001,3
53,TOR201904030,er,shoem001,0
54,TOR201904030,er,biagj001,0
55,TOR201904030,er,hudsd001,3
56,TOR201904030,er,gilek001,0
57,TOR201904120,er,stanr002,0
58,TOR201904120,er,yarbr001,0
59,TOR201904120,er,chiry001,6
60,TOR201904120,er,kolaa001,0
61,TOR201904120,er,castd002,0
62,TOR201904120,er,alvaj004,0
63,TOR201904120,er,thort002,5
64,TOR201904120,er,gavis001,1
65,TOR201904120,er,lucie001,2
66,TOR201904120,er,hudsd001,0
67,TOR201904120,er,guerj002,3
68,TOR201904130,er,snelb001,0
69,TOR201904130,er,roe-c001,2
70,TOR201904130,er,beekj001,1
71,TOR201904130,er,buchc001,1
72,TOR201904130,er,pannt001,0
73,TOR201904130,er,biagj001,0
74,TOR201904130,er,mayzt001,0
75,TOR201904130,er,gilek001,0
76,TOR201904140,er,mortc002,1
77,TOR201904140,er,kolaa001,0
78,TOR201904140,er,roe-c001,0
79,TOR201904140,er,stanr002,1
80,TOR201904140,er,castd002,0
81,TOR201904140,er,woodh001,0
82,TOR201904140,er,fontw001,2
83,TOR201904140,er,strom001,0
84,TOR201904140,er,pannt001,0
85,TOR201904140,er,guerj002,2
86,TOR201904140,er,mayzt001,3
87,TOR201904140,er,lucie001,0
88,TOR201904230,er,samaj001,2
89,TOR201904230,er,melam001,0
90,TOR201904230,er,dysos001,3
91,TOR201904230,er,watst001,1
92,TOR201904230,er,smitw002,0
93,TOR201904230,er,thort002,4
94,TOR201904230,er,pannt001,2
95,TOR201904230,er,hudsd001,1
96,TOR201904230,er,mayzt001,0
97,TOR201904240,er,pomed001,0
98,TOR201904240,er,moror001,0
99,TOR201904240,er,gottt001,0
100,TOR201904240,er,buchc001,4
101,TOR201904240,er,mayzt001,0
102,TOR201904240,er,teper001,0
103,TOR201904240,er,lucie001,0
104,TOR201904260,er,fierm001,2
105,TOR201904260,er,wendj001,0
106,TOR201904260,er,petiy001,2
107,TOR201904260,er,strom001,0
108,TOR201904260,er,biagj001,2
109,TOR201904260,er,teper001,0
110,TOR201904260,er,gilek001,0
111,TOR201904270,er,andeb004,6
112,TOR201904270,er,hendl001,1
113,TOR201904270,er,rodnf001,0
114,TOR201904270,er,dullr001,0
115,TOR201904270,er,sanca006,0
116,TOR201904270,er,gavis001,0
117,TOR201904270,er,hudsd001,0
118,TOR201904280,er,bassc001,1
119,TOR201904280,er,wendj001,0
120,TOR201904280,er,sorij001,0
121,TOR201904280,er,treib001,4
122,TOR201904280,er,thort002,1
123,TOR201904280,er,hudsd001,0
124,TOR201904280,er,biagj001,0
125,TOR201904280,er,teper001,0
126,TOR201904280,er,gilek001,0
127,TOR201904280,er,pannt001,3
128,TOR201904280,er,lucie001,0
129,TOR201905060,er,perem004,0
130,TOR201905060,er,harpr001,0
131,TOR201905060,er,magim001,0
132,TOR201905060,er,strom001,5
133,TOR201905060,er,hudsd001,1
134,TOR201905060,er,gavis001,0
135,TOR201905060,er,biagj001,1
136,TOR201905060,er,pannt001,0
137,TOR201905070,er,berrj001,0
138,TOR201905070,er,hildt001,0
139,TOR201905070,er,may-t001,0
140,TOR201905070,er,roget001,0
141,TOR201905070,er,sanca006,3
142,TOR201905070,er,teper001,0
143,TOR201905070,er,gilek001,0
144,TOR201905080,er,gibsk002,1
145,TOR201905080,er,harpr001,0
146,TOR201905080,er,morim002,0
147,TOR201905080,er,parkb001,0
148,TOR201905080,er,thort002,5
149,TOR201905080,er,gavis001,2
150,TOR201905080,er,law-d001,0
151,TOR201905080,er,lucie001,2
152,TOR201905080,er,mayzt001,0
153,TOR201905080,er,hudsd001,0
154,TOR201905080,er,pannt001,0
155,TOR201905100,er,coved001,4
156,TOR201905100,er,osicj001,0
157,TOR201905100,er,burrr002,0
158,TOR201905100,er,marse001,0
159,TOR201905100,er,bumma001,0
160,TOR201905100,er,hudsd001,1
161,TOR201905100,er,pannt001,0
162,TOR201905100,er,gavis001,1
163,TOR201905100,er,mayzt001,0
164,TOR201905100,er,teper001,1
165,TOR201905100,er,biagj001,0
166,TOR201905100,er,gilek001,0
167,TOR201905110,er,novai001,1
168,TOR201905110,er,marse001,0
169,TOR201905110,er,herrk001,0
170,TOR201905110,er,coloa001,1
171,TOR201905110,er,strom001,3
172,TOR201905110,er,law-d001,2
173,TOR201905110,er,guerj002,0
174,TOR201905110,er,lucie001,1
175,TOR201905120,er,gioll001,1
176,TOR201905120,er,burrr002,0
177,TOR201905120,er,bumma001,0
178,TOR201905120,er,sanca006,5
179,TOR201905120,er,hudsd001,0
180,TOR201905120,er,mayzt001,0
181,TOR201905120,er,biagj001,0
182,TOR201905200,er,pricd001,0
183,TOR201905200,er,workb001,0
184,TOR201905200,er,hembh001,0
185,TOR201905200,er,brasr001,0
186,TOR201905200,er,velah001,0
187,TOR201905200,er,jacke001,5
188,TOR201905200,er,lucie001,4
189,TOR201905200,er,law-d001,0
190,TOR201905200,er,teper001,2
191,TOR201905210,er,rodre004,6
192,TOR201905210,er,thort001,2
193,TOR201905210,er,brewc002,2
194,TOR201905210,er,strom001,1
195,TOR201905210,er,mayzt001,0
196,TOR201905210,er,biagj001,1
197,TOR201905210,er,gavis001,1
198,TOR201905220,er,porcr001,1
199,TOR201905220,er,workb001,1
200,TOR201905220,er,barnm001,1
201,TOR201905220,er,waldm002,1
202,TOR201905220,er,brasr001,0
203,TOR201905220,er,hembh001,1
204,TOR201905220,er,sanca006,2
205,TOR201905220,er,hudsd001,1
206,TOR201905220,er,law-d001,1
207,TOR201905220,er,gilek001,0
208,TOR201905220,er,biagj001,1
209,TOR201905220,er,cordj001,1
210,TOR201905230,er,weber001,1
211,TOR201905230,er,lakit001,0
212,TOR201905230,er,brasr001,0
213,TOR201905230,er,velah001,1
214,TOR201905230,er,richc002,1
215,TOR201905230,er,gavis001,2
216,TOR201905230,er,lucie001,2
217,TOR201905230,er,feier001,3
218,TOR201905240,er,luccj001,3
219,TOR201905240,er,wislm001,0
220,TOR201905240,er,erlir001,0
221,TOR201905240,er,stamc001,0
222,TOR201905240,er,thort002,3
223,TOR201905240,er,law-d001,0
224,TOR201905240,er,hudsd001,2
225,TOR201905240,er,pannt001,0
226,TOR201905250,er,quanc001,3
227,TOR201905250,er,matop002,0
228,TOR201905250,er,wiecb001,0
229,TOR201905250,er,jacke001,7
230,TOR201905250,er,pannt001,3
231,TOR201905250,er,law-d001,2
232,TOR201905250,er,rossz001,1
233,TOR201905250,er,gavis001,5
234,TOR201905250,er,biagj001,0
235,TOR201905250,er,maill001,0
236,TOR201905260,er,erlir001,1
237,TOR201905260,er,wislm001,2
238,TOR201905260,er,perdl002,4
239,TOR201905260,er,warra001,3
240,TOR201905260,er,strom001,1
241,TOR201905260,er,hudsd001,0
242,TOR201905260,er,biagj001,0
243,TOR201905260,er,gilek001,0
244,TOR201906040,er,tanam001,4
245,TOR201906040,er,holdj002,0
246,TOR201906040,er,greec003,0
247,TOR201906040,er,richc002,2
248,TOR201906040,er,pannt001,0
249,TOR201906040,er,hudsd001,0
250,TOR201906040,er,biagj001,1
251,TOR201906040,er,gilek001,0
252,TOR201906050,er,paxtj001,3
253,TOR201906050,er,ottaa001,0
254,TOR201906050,er,kahnt001,0
255,TOR201906050,er,holdj002,0
256,TOR201906050,er,britz001,3
257,TOR201906050,er,cessl001,2
258,TOR201906050,er,thort002,4
259,TOR201906050,er,law-d001,3
260,TOR201906050,er,gavis001,0
261,TOR201906050,er,gilek001,0
262,TOR201906060,er,happj001,1
263,TOR201906060,er,greec003,1
264,TOR201906060,er,chapa001,0
265,TOR201906060,er,jacke001,2
266,TOR201906060,er,pannt001,0
