,id,type,data
0,TOR201903280,visteam,DET
1,TOR201903280,hometeam,TOR
2,TOR201903280,site,TOR02
3,TOR201903280,date,2019/03/28
4,TOR201903280,number,0
5,TOR201903280,starttime,4:08PM
6,TOR201903280,daynight,day
7,TOR201903280,usedh,true
8,TOR201903280,umphome,demud901
9,TOR201903280,ump1b,herna901
10,TOR201903280,ump2b,hicke901
11,TOR201903280,ump3b,whitc901
12,TOR201903280,howscored,park
13,TOR201903280,pitches,pitches
14,TOR201903280,oscorer,lajor701
15,TOR201903280,temp,68
16,TOR201903280,winddir,unknown
17,TOR201903280,windspeed,0
18,TOR201903280,fieldcond,unknown
19,TOR201903280,precip,unknown
20,TOR201903280,sky,dome
21,TOR201903280,timeofgame,145
22,TOR201903280,attendance,45048
23,TOR201903280,wp,alcav001
24,TOR201903280,lp,hudsd001
25,TOR201903280,save,grees005
26,TOR201903290,visteam,DET
27,TOR201903290,hometeam,TOR
28,TOR201903290,site,TOR02
29,TOR201903290,date,2019/03/29
30,TOR201903290,number,0
31,TOR201903290,starttime,7:07PM
32,TOR201903290,daynight,night
33,TOR201903290,usedh,true
34,TOR201903290,umphome,herna901
35,TOR201903290,ump1b,hicke901
36,TOR201903290,ump2b,whitc901
37,TOR201903290,ump3b,demud901
38,TOR201903290,howscored,park
39,TOR201903290,pitches,pitches
40,TOR201903290,oscorer,lajor701
41,TOR201903290,temp,68
42,TOR201903290,winddir,unknown
43,TOR201903290,windspeed,0
44,TOR201903290,fieldcond,unknown
45,TOR201903290,precip,unknown
46,TOR201903290,sky,dome
47,TOR201903290,timeofgame,148
48,TOR201903290,attendance,18054
49,TOR201903290,wp,shoem001
50,TOR201903290,lp,boydm001
51,TOR201903290,save,
52,TOR201903300,visteam,DET
53,TOR201903300,hometeam,TOR
54,TOR201903300,site,TOR02
55,TOR201903300,date,2019/03/30
56,TOR201903300,number,0
57,TOR201903300,starttime,3:07PM
58,TOR201903300,daynight,day
59,TOR201903300,usedh,true
60,TOR201903300,umphome,hicke901
61,TOR201903300,ump1b,whitc901
